"KEY","Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
"CAPA_150n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J154K050BB","445-13813","http://www.digikey.com/product-detail/en/C1005X5R0J154K050BB/445-13813-1-ND/3955479","_","_"
"CAPA_0.15u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J154K050BB","445-13813","http://www.digikey.com/product-detail/en/C1005X5R0J154K050BB/445-13813-1-ND/3955479","_","_"
"CAPA_0.15u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J154K050BB","445-13813","http://www.digikey.com/product-detail/en/C1005X5R0J154K050BB/445-13813-1-ND/3955479","_","_"
"CAPA_150000p_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J154K050BB","445-13813","http://www.digikey.com/product-detail/en/C1005X5R0J154K050BB/445-13813-1-ND/3955479","_","_"
"CAPA_150000p_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J154K050BB","445-13813","http://www.digikey.com/product-detail/en/C1005X5R0J154K050BB/445-13813-1-ND/3955479","_","_"
"CAPA_220n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J224K050BB","445-4993","http://www.digikey.com/product-detail/en/C1005X5R0J224K050BB/445-4993-1-ND/2093608","_","_"
"CAPA_220n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J224K050BB","445-4993","http://www.digikey.com/product-detail/en/C1005X5R0J224K050BB/445-4993-1-ND/2093608","_","_"
"CAPA_0.22u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J224K050BB","445-4993","http://www.digikey.com/product-detail/en/C1005X5R0J224K050BB/445-4993-1-ND/2093608","_","_"
"CAPA_0.22u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J224K050BB","445-4993","http://www.digikey.com/product-detail/en/C1005X5R0J224K050BB/445-4993-1-ND/2093608","_","_"
"CAPA_330n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J334K050BB","445-4994","http://www.digikey.com/product-detail/en/C1005X5R0J334K050BB/445-4994-1-ND/2093609","_","_"
"CAPA_330n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J334K050BB","445-4994","http://www.digikey.com/product-detail/en/C1005X5R0J334K050BB/445-4994-1-ND/2093609","_","_"
"CAPA_0.33u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J334K050BB","445-4994","http://www.digikey.com/product-detail/en/C1005X5R0J334K050BB/445-4994-1-ND/2093609","_","_"
"CAPA_0.33u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J334K050BB","445-4994","http://www.digikey.com/product-detail/en/C1005X5R0J334K050BB/445-4994-1-ND/2093609","_","_"
