# KEY," Footprint","Datasheet","MFN","MFP","DigiPN","DigiPL","MouserPN","MouserPL"
RES_1.5_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R50FKED","541-1.50LLCT","http://www.digikey.com/product-detail/en/CRCW04021R50FKED/541-1.50LLCT-ND/1961900","_","_"
RES_1.6_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R60FKED","541-1.60LLCT","http://www.digikey.com/product-detail/en/CRCW04021R60FKED/541-1.60LLCT-ND/1961903","_","_"
RES_1.8_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R80FKED","541-1.80LLCT","http://www.digikey.com/product-detail/en/CRCW04021R80FKED/541-1.80LLCT-ND/1961909","_","_"
RES_2.0_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04022R00FKED","541-2.00LLCT","http://www.digikey.com/product-detail/en/CRCW04022R00FKED/541-2.00LLCT-ND/1961914","_","_"
RES_2_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04022R00FKED","541-2.00LLCT","http://www.digikey.com/product-detail/en/CRCW04022R00FKED/541-2.00LLCT-ND/1961914","_","_"
RES_2.2_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04022R20FKED","541-2.20LLCT","http://www.digikey.com/product-detail/en/CRCW04022R20FKED/541-2.20LLCT-ND/1961918","_","_"
RES_2.4_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04022R40FKED","541-2.40LLCT","http://www.digikey.com/product-detail/en/CRCW04022R40FKED/541-2.40LLCT-ND/1961923","_","_"
RES_2.7_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04022R70FKED","541-2.70LLCT","http://www.digikey.com/product-detail/en/CRCW04022R70FKED/541-2.70LLCT-ND/1961929","_","_"
RES_3_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04023R00FKED","541-3.00LLCT","http://www.digikey.com/product-detail/en/CRCW04023R00FKED/541-3.00LLCT-ND/1961934","_","_"
RES_3.0_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04023R00FKED","541-3.00LLCT","http://www.digikey.com/product-detail/en/CRCW04023R00FKED/541-3.00LLCT-ND/1961934","_","_"
RES_3.3_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04023R30FKED","541-3.30LLCT","http://www.digikey.com/product-detail/en/CRCW04023R30FKED/541-3.30LLCT-ND/1961939","_","_"
RES_3.6_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04023R60FKED","541-3.60LLCT","http://www.digikey.com/product-detail/en/CRCW04023R60FKED/541-3.60LLCT-ND/1961944","_","_"
RES_3.9_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04023R90FKED","541-3.90LLCT","http://www.digikey.com/product-detail/en/CRCW04023R90FKED/541-3.90LLCT-ND/1961949","_","_"
RES_4.3_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04024R30FKED","541-4.30LLCT","http://www.digikey.com/product-detail/en/CRCW04024R30FKED/541-4.30LLCT-ND/1961954","_","_"
RES_4.7_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04024R70FKED","541-4.70LLCT","http://www.digikey.com/product-detail/en/CRCW04024R70FKED/541-4.70LLCT-ND/1961959","_","_"
RES_5.1_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04025R10FKED","541-5.10LLCT","http://www.digikey.com/product-detail/en/CRCW04025R10FKED/541-5.10LLCT-ND/1961963","_","_"
RES_5.6_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04025R60FKED","541-5.60LLCT","http://www.digikey.com/product-detail/en/CRCW04025R60FKED/541-5.60LLCT-ND/1961968","_","_"
RES_6.2_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04026R20FKED","541-6.20LLCT","http://www.digikey.com/product-detail/en/CRCW04026R20FKED/541-6.20LLCT-ND/1961974","_","_"
RES_6.8_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04026R80FKED","541-6.80LLCT","http://www.digikey.com/product-detail/en/CRCW04026R80FKED/541-6.80LLCT-ND/1961978","_","_"
