KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
RES_100_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402100RFKED","541-100LCT","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","_","_"
RES_110_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402110RFKED","541-110LCT","http://www.digikey.com/product-detail/en/CRCW0402110RFKED/541-110LCT-ND/1183013","_","_"
RES_120_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402120RFKED","541-120LCT","http://www.digikey.com/product-detail/en/CRCW0402120RFKED/541-120LCT-ND/1183017","_","_"
RES_130_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402130RFKED","541-130LCT","http://www.digikey.com/product-detail/en/CRCW0402130RFKED/541-130LCT-ND/1183021","_","_"
RES_150_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402150RFKED","541-150LCT","http://www.digikey.com/product-detail/en/CRCW0402150RFKED/541-150LCT-ND/1183027","_","_"
RES_160_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402160RFKED","541-160LCT","http://www.digikey.com/product-detail/en/CRCW0402160RFKED/541-160LCT-ND/1183030","_","_"
RES_180_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402180RFKED","541-180LCT","http://www.digikey.com/product-detail/en/CRCW0402180RFKED/541-180LCT-ND/1183036","_","_"
RES_200_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402200RFKED","541-200LCT","http://www.digikey.com/product-detail/en/CRCW0402200RFKED/541-200LCT-ND/1183041","_","_"
RES_220_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402220RFKED","541-220LCT","http://www.digikey.com/product-detail/en/CRCW0402220RFKED/541-220LCT-ND/1183045","_","_"
RES_240_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402240RFKED","541-240LCT","http://www.digikey.com/product-detail/en/CRCW0402240RFKED/541-240LCT-ND/1183050","_","_"
